"from"	"to"	"weight"
"Cre04.g228400"	"Cre13.g592250"	0.0306833998447853
"Cre12.g541777"	"Cre16.g670650"	0.0306732300642978
"Cre02.g078831"	"Cre03.g204500"	0.0306689524007684
"Cre02.g101500"	"Cre13.g575333"	0.0306571224611284
"Cre02.g078831"	"Cre14.g613100"	0.030653229442635
"Cre07.g340450"	"Cre01.g001800"	0.0306256900514207
"Cre16.g675700"	"Cre11.g467594"	0.030597599543823
"Cre04.g224600"	"Cre05.g244450"	0.0305589341049575
"Cre16.g675700"	"Cre14.g620600"	0.0304791045157048
"Cre08.g361400"	"Cre08.g358800"	0.0304084094573229
"Cre03.g184600"	"Cre17.g711200"	0.0303835030527961
"Cre16.g675700"	"Cre06.g272900"	0.0303465158706166
"Cre02.g145550"	"Cre16.g680850"	0.0302893686013664
"Cre07.g340450"	"Cre08.g363874"	0.030256677684135
"Cre05.g241636"	"Cre16.g694750"	0.0301972899451315
"Cre07.g316600"	"Cre12.g560750"	0.0301777522334521
"Cre08.g361400"	"Cre09.g392000"	0.0301560028875289
"Cre08.g361400"	"Cre02.g112266"	0.0301372517066621
"Cre17.g709800"	"Cre06.g301600"	0.0301037516850956
"Cre12.g540400"	"Cre12.g487250"	0.0300964149875232
"Cre16.g671900"	"Cre06.g299300"	0.0300235272629627
"Cre14.g630376"	"Cre01.g027575"	0.0300114227542445
"Cre07.g325738"	"Cre08.g366050"	0.0299980105375005
"Cre12.g522400"	"Cre10.g455600"	0.029978177443119
"Cre11.g467581"	"Cre05.g243000"	0.0299767366755249
"Cre02.g101500"	"Cre17.g735400"	0.0299249195071284
"Cre03.g162701"	"Cre17.g737000"	0.0299220383918011
"Cre16.g672300"	"Cre06.g278117"	0.0298997636848204
"Cre01.g008200"	"Cre12.g512100"	0.02979328089813
"Cre02.g078831"	"Cre01.g015103"	0.0296741923819755
"Cre16.g673250"	"Cre04.g226550"	0.0296475642623455
"Cre11.g480950"	"Cre16.g648451"	0.0295864752755417
"Cre08.g361400"	"Cre12.g541050"	0.029525700788625
"Cre07.g351500"	"Cre01.g019450"	0.0295121337583022
"Cre10.g418600"	"Cre12.g509400"	0.0294931927914396
"Cre04.g226400"	"Cre16.g671700"	0.0294925212593155
"Cre02.g145550"	"Cre08.g366874"	0.0294824431032883
"Cre11.g467581"	"Cre08.g383500"	0.0294771289751561
"Cre11.g467581"	"Cre09.g387800"	0.0294210902263846
"Cre01.g010750"	"Cre15.g641875"	0.0294127301714098
"Cre02.g101150"	"Cre13.g583000"	0.0294063211616363
"Cre12.g522400"	"Cre02.g146550"	0.0294001570904251
"Cre12.g522400"	"Cre12.g512500"	0.0293182729668983
"Cre04.g221900"	"Cre03.g145087"	0.0293171928822157
"Cre16.g675700"	"Cre02.g146850"	0.0293087481523446
"Cre02.g118250"	"Cre03.g205921"	0.0292842297781002
"Cre10.g455600"	"Cre06.g278585"	0.0292797340283434
"Cre02.g101550"	"Cre16.g695200"	0.0292752875183314
"Cre14.g630376"	"Cre02.g101500"	0.0292293959171515
"Cre01.g008200"	"Cre09.g403450"	0.0291813346663498
"Cre05.g238250"	"Cre12.g535400"	0.0291738651122135
"Cre02.g101150"	"Cre05.g243000"	0.0291701739067701
"Cre16.g675700"	"Cre17.g741950"	0.0291401180735853
"Cre10.g455600"	"Cre01.g019450"	0.0291390813672812
"Cre03.g152150"	"Cre16.g671700"	0.0291063377256733
"Cre02.g110550"	"Cre16.g695100"	0.0290314737169218
"Cre10.g464750"	"Cre02.g076400"	0.0289856672747588
"Cre03.g189000"	"Cre02.g143861"	0.0289720684362942
"Cre06.g261450"	"Cre11.g467676"	0.0289240351131047
"Cre10.g455600"	"Cre12.g522400"	0.0287726984717852
"Cre02.g118250"	"Cre08.g372100"	0.0287698705530611
"Cre11.g467581"	"Cre02.g119000"	0.0287496003697727
"Cre17.g696300"	"Cre09.g396401"	0.0287461462328692
"Cre03.g162701"	"Cre03.g203550"	0.0287407789361252
"Cre17.g696300"	"Cre12.g557650"	0.0287031472604029
"Cre02.g101150"	"Cre07.g346800"	0.0286920135472225
"Cre03.g189850"	"Cre17.g719950"	0.0286917303472861
"Cre16.g680588"	"Cre16.g685950"	0.0286675323356576
"Cre05.g238250"	"Cre08.g358573"	0.0286391459081031
"Cre02.g087551"	"Cre12.g493450"	0.0286340391572651
"Cre08.g361400"	"Cre13.g575333"	0.0286020341201878
"Cre16.g674890"	"Cre12.g496200"	0.0285965385239522
"Cre08.g361400"	"Cre04.g226550"	0.028585024320483
